人造物
食物
植物
动物
交通工具
身体部位
自然物
工具
固态干粮
服饰
电器
陆生动物
蔬菜
酒水饮料
花草
水果
水生动物
家具
车
鸟
昆虫
玩具
肉食
餐具
建筑
武器
调料
树木
乐器
运动器材
医疗用品
飞机
船
安全带
安全帽
安慰奶嘴
鹌鹑
鹌鹑蛋
按键
按摩器
按钮
八宝粥
八哥
巴士
芭蕾舞裙
霸王龙
吧台
白菜
白饭
白果
白桦树
白酒
白萝卜
白皮松
白砂糖
白水
白糖
白杨
白蚁
白银
白粥
百合
百科全书
百事可乐
百香果
柏树
柏油路
摆钟
扳手
斑马
板栗
棒棒糖
包
包装纸
包子
薄荷
宝石
保龄球
保鲜膜
保险柜
报警器
报纸
豹子
鲍鱼
爆米花
杯垫
杯子
背包
背带裤
背心
被子
绷带
蹦床
鼻环
鼻烟壶
鼻子
匕首
比基尼泳装
比萨
笔记本电脑
笔芯
碧螺春
壁橱
壁画
避雷针
避孕套
蝙蝠
鞭子
扁豆
变色龙
便盆
辫子
槟榔
冰雹
冰棍
冰红茶
冰咖啡
冰块
冰淇淋
冰淇淋蛋糕
冰球
冰山
冰糖
冰糖葫芦
冰箱
兵马俑
饼干
波斯猫
玻璃
玻璃切割机
玻璃水杯
玻璃珠
菠菜
菠萝汁
簸箕
捕蝇草
不倒翁
布丁
步枪
彩虹
彩票
彩旗
彩色电视
彩陶
菜板
菜籽油
餐刀
餐巾纸
餐桌
蚕
蚕豆
苍鹰
苍蝇
藏獒犬
藏红花
草
草帽
草莓
草莓酱
草鱼
测谎仪
叉子
插头
插线板
插座
茶
茶包
茶壶
茶花
茶碗
刹车踏板
蟾蜍
敞篷跑车
唱片
炒锅
炒面
车窗
车库
车辆
车轮
车门
车票
衬衫
蛏子
橙汁
秤
尺子
齿轮
冲浪板
充电器
抽水马桶
抽屉
臭豆腐
臭鼬
出租车
除草机
锄头
雏菊
橱柜
储蓄罐
穿山甲
传真机
窗户
窗帘
床
床垫
床罩
创可贴
垂柳
锤子
春卷
纯净水
磁带
磁铁
刺刀
刺猬
葱
醋
催泪弹
搓衣板
锉刀
打底裤
打气筒
打印机
大饼
大豆
大灰狼
大理石
大米
大脑
大炮
大蒜
大提琴
大头菜
大头针
大腿
大象
大猩猩
大衣
大枣
带鱼
担架
单簧管
单肩包
单人床
弹簧
