Concept,Rel,Feature,Frequency,上级类别,下级类别
白菜,是,是-蔬菜,23.5714285714286,植物,蔬菜
白菜,可以,可以-食用,17.1428571428571,植物,蔬菜
白菜,是,是-植物,16.0714285714286,植物,蔬菜
白菜,有,有-叶子,16.0714285714286,植物,蔬菜
白菜,需要,需要-水,13.9285714285714,植物,蔬菜
白菜,需要,需要-阳光,11.7857142857143,植物,蔬菜
白菜,是,是-白色的,10.7142857142857,植物,蔬菜
白菜,是,是-食物,10.7142857142857,植物,蔬菜
白菜,有,有-菜叶,9.64285714285714,植物,蔬菜
白菜,是,是-绿色的,8.57142857142857,植物,蔬菜
白菜,需要,需要-空气,8.57142857142857,植物,蔬菜
白菜,有,有-根,8.57142857142857,植物,蔬菜
白菜,可以,可以-炒,7.5,植物,蔬菜
白菜,需要,需要-肥料,7.5,植物,蔬菜
白菜,需要,需要-土,7.5,植物,蔬菜
白菜,有,有-水,5.35714285714286,植物,蔬菜
白菜,有,有-维生素,4.28571428571429,植物,蔬菜
白菜,是,是-黄色的,3.21428571428571,植物,蔬菜
白菜,是,是-青菜,3.21428571428571,植物,蔬菜
白菜,像,像-卷心菜,3.21428571428571,植物,蔬菜
白菜,像,像-青菜,3.21428571428571,植物,蔬菜
白菜,像,像-娃娃菜,3.21428571428571,植物,蔬菜
白菜,像,像-玉石,3.21428571428571,植物,蔬菜
白菜,需要,需要-呼吸,3.21428571428571,植物,蔬菜
白菜,需要,需要-清洗,3.21428571428571,植物,蔬菜
白菜,需要,需要-种植,3.21428571428571,植物,蔬菜
白菜,有,有-菜根,3.21428571428571,植物,蔬菜
白菜,有,有-茎,3.21428571428571,植物,蔬菜
白菜,有,有-纤维,3.21428571428571,植物,蔬菜
白菜,有,有-营养,3.21428571428571,植物,蔬菜
白菜,可以,可以-切,2.14285714285714,植物,蔬菜
白菜,可以,可以-腌制,2.14285714285714,植物,蔬菜
白菜,是,是-土中生长的,2.14285714285714,植物,蔬菜
白菜,是,是-椭圆形,2.14285714285714,植物,蔬菜
白菜,像,像-包菜,2.14285714285714,植物,蔬菜
白菜,像,像-翡翠,2.14285714285714,植物,蔬菜
白菜,像,像-花,2.14285714285714,植物,蔬菜
白菜,像,像-胖娃娃,2.14285714285714,植物,蔬菜
白菜,像,像-球,2.14285714285714,植物,蔬菜
白菜,需要,需要-买,2.14285714285714,植物,蔬菜
白菜,需要,需要-杀虫,2.14285714285714,植物,蔬菜
白菜,需要,需要-生长,2.14285714285714,植物,蔬菜
白菜,有,有-白菜帮,2.14285714285714,植物,蔬菜
白菜,有,有-帮子,2.14285714285714,植物,蔬菜
白菜,有,有-菜心,2.14285714285714,植物,蔬菜
白菜,有,有-多种种类,2.14285714285714,植物,蔬菜
白酒,可以,可以-饮用,20.3571428571429,食物,酒水饮料
白酒,有,有-酒精,17.1428571428571,食物,酒水饮料
白酒,是,是-酒,16.0714285714286,食物,酒水饮料
白酒,像,像-水,13.9285714285714,食物,酒水饮料
白酒,是,是-液体,11.7857142857143,食物,酒水饮料
白酒,需要,需要-酿,11.7857142857143,食物,酒水饮料
白酒,有,有-水,9.64285714285714,食物,酒水饮料
白酒,需要,需要-密封,6.42857142857143,食物,酒水饮料
白酒,是,是-无色的,5.35714285714286,食物,酒水饮料
白酒,像,像-白水,5.35714285714286,食物,酒水饮料
白酒,可以,可以-燃烧,4.28571428571429,食物,酒水饮料
白酒,可以,可以-消毒,4.28571428571429,食物,酒水饮料
白酒,是,是-度数高的,4.28571428571429,食物,酒水饮料
白酒,是,是-辣的,4.28571428571429,食物,酒水饮料
白酒,是,是-透明的,4.28571428571429,食物,酒水饮料
白酒,是,是-香的,4.28571428571429,食物,酒水饮料
白酒,是,是-饮料,4.28571428571429,食物,酒水饮料
白酒,需要,需要-保存,4.28571428571429,食物,酒水饮料
白酒,需要,需要-发酵,4.28571428571429,食物,酒水饮料
白酒,像,像-啤酒,3.21428571428571,食物,酒水饮料
白酒,需要,需要-蒸馏,3.21428571428571,食物,酒水饮料
白酒,需要,需要-制造,3.21428571428571,食物,酒水饮料
白酒,有,有-多种种类,3.21428571428571,食物,酒水饮料
白酒,有,有-糖,3.21428571428571,食物,酒水饮料
白酒,可以,可以-喝酒,2.14285714285714,食物,酒水饮料
白酒,可以,可以-喝醉,2.14285714285714,食物,酒水饮料
白酒,可以,可以-送礼,2.14285714285714,食物,酒水饮料
白酒,是,是-白色的,2.14285714285714,食物,酒水饮料
白酒,是,是-流动的,2.14285714285714,食物,酒水饮料
白酒,是,是-易醉的,2.14285714285714,食物,酒水饮料
白酒,需要,需要-买,2.14285714285714,食物,酒水饮料
白酒,需要,需要-水,2.14285714285714,食物,酒水饮料
白酒,有,有-度数,2.14285714285714,食物,酒水饮料
白酒,有,有-味道,2.14285714285714,食物,酒水饮料
板栗,是,是-食物,22.0,植物,水果
板栗,有,有-壳,18.0,植物,水果
板栗,可以,可以-食用,15.0,植物,水果
板栗,是,是-植物,10.0,植物,水果
板栗,是,是-棕色的,10.0,植物,水果
板栗,需要,需要-剥开,9.0,植物,水果
板栗,有,有-果肉,8.0,植物,水果
板栗,可以,可以-炒,7.0,植物,水果
板栗,是,是-好吃的,7.0,植物,水果
板栗,是,是-坚果,7.0,植物,水果
板栗,像,像-石头,7.0,植物,水果
板栗,需要,需要-水,6.0,植物,水果
板栗,需要,需要-种植,6.0,植物,水果
板栗,有,有-营养,6.0,植物,水果
板栗,需要,需要-炒,5.0,植物,水果
板栗,是,是-果实,4.0,植物,水果
板栗,是,是-香的,4.0,植物,水果
板栗,像,像-球,4.0,植物,水果
板栗,需要,需要-阳光,4.0,植物,水果
板栗,可以,可以-买卖,3.0,植物,水果
板栗,是,是-栗子,3.0,植物,水果
板栗,是,是-树上的,3.0,植物,水果
板栗,是,是-甜的,3.0,植物,水果
板栗,是,是-圆形,3.0,植物,水果
板栗,像,像-瓜子,3.0,植物,水果
板栗,像,像-榛子,3.0,植物,水果
板栗,需要,需要-翻炒,3.0,植物,水果
板栗,需要,需要-空气,3.0,植物,水果
板栗,需要,需要-煮熟,3.0,植物,水果
板栗,有,有-刺,3.0,植物,水果
板栗,有,有-毛,3.0,植物,水果
板栗,可以,可以-糖炒,2.0,植物,水果
板栗,是,是-硬的,2.0,植物,水果
板栗,像,像-核桃,2.0,植物,水果
板栗,像,像-花生,2.0,植物,水果
板栗,需要,需要-采摘,2.0,植物,水果
板栗,需要,需要-肥料,2.0,植物,水果
板栗,需要,需要-土,2.0,植物,水果
板栗,需要,需要-煮,2.0,植物,水果
板栗,有,有-淀粉,2.0,植物,水果
板栗,有,有-多种种类,2.0,植物,水果
板栗,有,有-皮,2.0,植物,水果
板栗,有,有-种皮,2.0,植物,水果
棒棒糖,是,是-甜的,20.0,食物,固态干粮
棒棒糖,可以,可以-食用,19.0,食物,固态干粮
棒棒糖,是,是-食物,17.0,食物,固态干粮
棒棒糖,是,是-糖,12.0,食物,固态干粮
棒棒糖,有,有-糖,11.0,食物,固态干粮
棒棒糖,是,是-零食,9.0,食物,固态干粮
棒棒糖,有,有-多种颜色,9.0,食物,固态干粮
棒棒糖,有,有-棍棒,8.0,食物,固态干粮
棒棒糖,有,有-多种味道,7.0,食物,固态干粮
棒棒糖,是,是-圆形,6.0,食物,固态干粮
棒棒糖,有,有-包装,6.0,食物,固态干粮
棒棒糖,可以,可以-哄孩子,5.0,食物,固态干粮
棒棒糖,可以,可以-送礼,5.0,食物,固态干粮
棒棒糖,是,是-孩童的,5.0,食物,固态干粮
棒棒糖,是,是-好吃的,5.0,食物,固态干粮
棒棒糖,是,是-喜欢的,5.0,食物,固态干粮
